;CD_CVM;CD_CONTA;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
0;2437;3.01;MIL;2011-01-01;2011-03-31;Receita de Venda de Bens e/ou Serviços;8551982.0;S
11;2437;3.99;MIL;2011-01-01;2011-03-31;Lucro por Ação - (Reais / Ação);0.0;N
10;2437;3.11;MIL;2011-01-01;2011-03-31;Lucro/Prejuízo Consolidado do Período;1288848.0;S
9;2437;3.10;MIL;2011-01-01;2011-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
7;2437;3.08;MIL;2011-01-01;2011-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-578697.0;S
6;2437;3.07;MIL;2011-01-01;2011-03-31;Resultado Antes dos Tributos sobre o Lucro;1867545.0;S
8;2437;3.09;MIL;2011-01-01;2011-03-31;Resultado Líquido das Operações Continuadas;1288848.0;S
4;2437;3.05;MIL;2011-01-01;2011-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;2143615.0;S
3;2437;3.04;MIL;2011-01-01;2011-03-31;Despesas/Receitas Operacionais;-5281346.0;S
2;2437;3.03;MIL;2011-01-01;2011-03-31;Resultado Bruto;7424961.0;S
1;2437;3.02;MIL;2011-01-01;2011-03-31;Custo dos Bens e/ou Serviços Vendidos;-1127021.0;S
5;2437;3.06;MIL;2011-01-01;2011-03-31;Resultado Financeiro;-276070.0;S
19;2437;3.08;MIL;2011-04-01;2011-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;97974.0;S
22;2437;3.11;MIL;2011-04-01;2011-06-30;Lucro/Prejuízo Consolidado do Período;347086.0;S
21;2437;3.10;MIL;2011-04-01;2011-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
20;2437;3.09;MIL;2011-04-01;2011-06-30;Resultado Líquido das Operações Continuadas;347086.0;S
18;2437;3.07;MIL;2011-04-01;2011-06-30;Resultado Antes dos Tributos sobre o Lucro;249112.0;S
23;2437;3.99;MIL;2011-04-01;2011-06-30;Lucro por Ação - (Reais / Ação);0.0;N
16;2437;3.05;MIL;2011-04-01;2011-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;937798.0;S
15;2437;3.04;MIL;2011-04-01;2011-06-30;Despesas/Receitas Operacionais;-4929233.0;S
14;2437;3.03;MIL;2011-04-01;2011-06-30;Resultado Bruto;5867031.0;S
13;2437;3.02;MIL;2011-04-01;2011-06-30;Custo dos Bens e/ou Serviços Vendidos;0.0;S
12;2437;3.01;MIL;2011-04-01;2011-06-30;Receita de Venda de Bens e/ou Serviços;5867031.0;S
17;2437;3.06;MIL;2011-04-01;2011-06-30;Resultado Financeiro;-688686.0;S
35;2437;3.99;MIL;2011-07-01;2011-09-30;Lucro por Ação - (Reais / Ação);0.0;N
34;2437;3.11;MIL;2011-07-01;2011-09-30;Lucro/Prejuízo Consolidado do Período;1558442.0;S
33;2437;3.10;MIL;2011-07-01;2011-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
31;2437;3.08;MIL;2011-07-01;2011-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-710173.0;S
30;2437;3.07;MIL;2011-07-01;2011-09-30;Resultado Antes dos Tributos sobre o Lucro;2268615.0;S
32;2437;3.09;MIL;2011-07-01;2011-09-30;Resultado Líquido das Operações Continuadas;1558442.0;S
28;2437;3.05;MIL;2011-07-01;2011-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;740472.0;S
27;2437;3.04;MIL;2011-07-01;2011-09-30;Despesas/Receitas Operacionais;-6356726.0;S
