;CD_CVM;CD_CONTA;ESCALA_MOEDA;DT_INI_EXERC;DT_FIM_EXERC;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
0;21490;3.01;MIL;2011-01-01;2011-03-31;Receita de Venda de Bens e/ou Serviços;293389.0;S
11;21490;3.99;MIL;2011-01-01;2011-03-31;Lucro por Ação - (Reais / Ação);0.0;N
10;21490;3.11;MIL;2011-01-01;2011-03-31;Lucro/Prejuízo Consolidado do Período;134025.0;S
9;21490;3.10;MIL;2011-01-01;2011-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
7;21490;3.08;MIL;2011-01-01;2011-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-19058.0;S
6;21490;3.07;MIL;2011-01-01;2011-03-31;Resultado Antes dos Tributos sobre o Lucro;153083.0;S
8;21490;3.09;MIL;2011-01-01;2011-03-31;Resultado Líquido das Operações Continuadas;134025.0;S
4;21490;3.05;MIL;2011-01-01;2011-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;187527.0;S
3;21490;3.04;MIL;2011-01-01;2011-03-31;Despesas/Receitas Operacionais;-11628.0;S
2;21490;3.03;MIL;2011-01-01;2011-03-31;Resultado Bruto;199155.0;S
1;21490;3.02;MIL;2011-01-01;2011-03-31;Custo dos Bens e/ou Serviços Vendidos;-94234.0;S
5;21490;3.06;MIL;2011-01-01;2011-03-31;Resultado Financeiro;-34444.0;S
19;21490;3.08;MIL;2011-07-01;2011-09-30;Imposto de Renda e Contribuição Social sobre o Lucro;-24607.0;S
23;21490;3.99;MIL;2011-07-01;2011-09-30;Lucro por Ação - (Reais / Ação);0.0;N
22;21490;3.11;MIL;2011-07-01;2011-09-30;Lucro/Prejuízo Consolidado do Período;115156.0;S
21;21490;3.10;MIL;2011-07-01;2011-09-30;Resultado Líquido de Operações Descontinuadas;0.0;S
20;21490;3.09;MIL;2011-07-01;2011-09-30;Resultado Líquido das Operações Continuadas;115156.0;S
18;21490;3.07;MIL;2011-07-01;2011-09-30;Resultado Antes dos Tributos sobre o Lucro;139763.0;S
17;21490;3.06;MIL;2011-07-01;2011-09-30;Resultado Financeiro;-54647.0;S
16;21490;3.05;MIL;2011-07-01;2011-09-30;Resultado Antes do Resultado Financeiro e dos Tributos;194410.0;S
15;21490;3.04;MIL;2011-07-01;2011-09-30;Despesas/Receitas Operacionais;-22989.0;S
14;21490;3.03;MIL;2011-07-01;2011-09-30;Resultado Bruto;217399.0;S
13;21490;3.02;MIL;2011-07-01;2011-09-30;Custo dos Bens e/ou Serviços Vendidos;-104842.0;S
12;21490;3.01;MIL;2011-07-01;2011-09-30;Receita de Venda de Bens e/ou Serviços;322241.0;S
470;21490;3.03;MIL;2011-10-01;2011-12-31;Resultado Bruto;424040.0;S
471;21490;3.04;MIL;2011-10-01;2011-12-31;Despesas/Receitas Operacionais;-67577.0;S
472;21490;3.05;MIL;2011-10-01;2011-12-31;Resultado Antes do Resultado Financeiro e dos Tributos;356463.0;S
473;21490;3.06;MIL;2011-10-01;2011-12-31;Resultado Financeiro;-110532.0;S
474;21490;3.07;MIL;2011-10-01;2011-12-31;Resultado Antes dos Tributos sobre o Lucro;245931.0;S
475;21490;3.08;MIL;2011-10-01;2011-12-31;Imposto de Renda e Contribuição Social sobre o Lucro;-56068.0;S
476;21490;3.09;MIL;2011-10-01;2011-12-31;Resultado Líquido das Operações Continuadas;189863.0;S
477;21490;3.10;MIL;2011-10-01;2011-12-31;Resultado Líquido de Operações Descontinuadas;0.0;S
478;21490;3.11;MIL;2011-10-01;2011-12-31;Lucro/Prejuízo Consolidado do Período;189863.0;S
479;21490;3.99;MIL;2011-10-01;2011-12-31;Lucro por Ação - (Reais / Ação);0.0;N
469;21490;3.02;MIL;2011-10-01;2011-12-31;Custo dos Bens e/ou Serviços Vendidos;-173975.0;S
468;21490;3.01;MIL;2011-10-01;2011-12-31;Receita de Venda de Bens e/ou Serviços;598015.0;S
24;21490;3.01;MIL;2012-01-01;2012-03-31;Receita de Venda de Bens e/ou Serviços;296251.0;S
26;21490;3.03;MIL;2012-01-01;2012-03-31;Resultado Bruto;244997.0;S
27;21490;3.04;MIL;2012-01-01;2012-03-31;Despesas/Receitas Operacionais;-25524.0;S
28;21490;3.05;MIL;2012-01-01;2012-03-31;Resultado Antes do Resultado Financeiro e dos Tributos;219473.0;S
34;21490;3.11;MIL;2012-01-01;2012-03-31;Lucro/Prejuízo Consolidado do Período;141533.0;S
29;21490;3.06;MIL;2012-01-01;2012-03-31;Resultado Financeiro;-54361.0;S
30;21490;3.07;MIL;2012-01-01;2012-03-31;Resultado Antes dos Tributos sobre o Lucro;165112.0;S
31;21490;3.08;MIL;2012-01-01;2012-03-31;Imposto de Renda e Contribuição Social sobre o Lucro;-23579.0;S
32;21490;3.09;MIL;2012-01-01;2012-03-31;Resultado Líquido das Operações Continuadas;141533.0;S
33;21490;3.10;MIL;2012-01-01;2012-03-31;Resultado Líquido de Operações Descontinuadas;0.0;S
35;21490;3.99;MIL;2012-01-01;2012-03-31;Lucro por Ação - (Reais / Ação);0.0;N
25;21490;3.02;MIL;2012-01-01;2012-03-31;Custo dos Bens e/ou Serviços Vendidos;-51254.0;S
36;21490;3.01;MIL;2012-04-01;2012-06-30;Receita de Venda de Bens e/ou Serviços;325260.0;S
47;21490;3.99;MIL;2012-04-01;2012-06-30;Lucro por Ação - (Reais / Ação);0.0;N
45;21490;3.10;MIL;2012-04-01;2012-06-30;Resultado Líquido de Operações Descontinuadas;0.0;S
44;21490;3.09;MIL;2012-04-01;2012-06-30;Resultado Líquido das Operações Continuadas;128707.0;S
43;21490;3.08;MIL;2012-04-01;2012-06-30;Imposto de Renda e Contribuição Social sobre o Lucro;-29390.0;S
42;21490;3.07;MIL;2012-04-01;2012-06-30;Resultado Antes dos Tributos sobre o Lucro;158097.0;S
41;21490;3.06;MIL;2012-04-01;2012-06-30;Resultado Financeiro;-55707.0;S
40;21490;3.05;MIL;2012-04-01;2012-06-30;Resultado Antes do Resultado Financeiro e dos Tributos;213804.0;S
39;21490;3.04;MIL;2012-04-01;2012-06-30;Despesas/Receitas Operacionais;-27316.0;S
38;21490;3.03;MIL;2012-04-01;2012-06-30;Resultado Bruto;241120.0;S
